LocationID,Address1,Address2,Postcode,RestaurantID
13,31,Alexander Park,BA1,13
9,87,Alexander Park,BA1,9
19,32,Boardwalk,BA1,19
15,43,Brownmoor Avenue,BA2,15
21,79,Conneticut Avenue,BA1,21
8,31,Darkmoor Lane,BA2,8
10,34,Darkmoor Lane,BA2,10
17,42,Grandstand Lane,BA1,17
25,2,Grandstand Lane,BA1,25
5,7,John Street,BA1,5
6,65,John Street,BA1,6
11,78,John Street,BA1,11
2,15,Julius Street,BA2,2
14,9,Julius Street,BA2,14
4,65,Lemon Grove,BA2,4
23,8,Mayfair Lane,BA2,23
22,23,North Carolina Avenue,BA2,22
20,8,Oriental Avenue,BA2,20
24,23,Oxford Park,BA1,24
18,87,Park Place,BA1,18
3,16,Simes Road,BA1,3
12,3,Simes Road,BA1,12
1,10,Snowdog Avenue,BA2,1
7,86,Snowdog Avenue,BA2,7
16,89,Weston Park,BA1,16
