RestaurantID,Name,Description,ImageID,HygeineRating,CustomerRating,WeekHoursBegin,WeekHoursEnd,WeekendHoursBegin,WeekendHoursEnd,Phone,EmployeeID,LocationID
1,Snowdoggero,Italian,1,3,4,13:00,22:00,17:00,22:00,07586295824,0,0
2,Al-Baba's,Arabic,2,3,5,12:00,23:00,17:00,22:00,07693867264,0,0
3,Devushka,Russian,3,2,3,16:00,00:00,17:00,22:00,07994886771,0,0
4,Border-HP,Hispanic,4,2,5,09:00,22:00,17:00,22:00,07938555875,0,0
5,Phillyboys,American,5,5,4,12:00,20:00,17:00,22:00,07987163456,0,0
6,Da Vincenzo's,Italian,6,3,2,11:00,23:00,17:00,22:00,07888948375,0,0
7,Plan Taco,Hispanic,7,4,2,09:00,23:00,17:00,22:00,07968574666,0,0
8,Raj,Indian,8,5,4,10:00,21:00,17:00,22:00,07968555999,0,0
9,Hideyoshi,Japanese,9,5,5,11:00,23:00,17:00,22:00,07968276625,0,0
10,Salah!,Arabic,10,3,3,19:00,05:00,17:00,22:00,07918573663,0,0
11,Wini Po's,Chinese,11,5,5,12:00,23:00,17:00,22:00,07628673668,0,0
12,Huey's,American,12,1,3,11:00,22:00,17:00,22:00,07827676386,0,0
13,Taco Grande,Hispanic,13,4,4,13:00,23:00,17:00,22:00,07927662867,0,0
14,Al-Riyadh,Arabic,14,5,4,21:00,23:00,17:00,22:00,07192819572,0,0
15,Mi Napoli,Italian,15,4,5,10:00,23:00,17:00,22:00,07918571656,0,0
16,Tojo Town,Japanese,16,5,4,18:00,23:00,17:00,22:00,07918572751,0,0
17,Czezc Sklep,Polish,17,3,2,17:00,23:00,17:00,22:00,07918573868,0,0
18,Picante,Italian,18,4,4,18:00,23:00,17:00,22:00,07948683861,0,0
19,Ceddin,Arabic,19,1,4,17:00,23:00,17:00,22:00,07948683761,0,0
20,Gupta and Singh,Indian,20,4,2,12:00,23:00,17:00,22:00,07937672867,0,0
21,Brown Road Chippy,English,21,3,4,16:00,23:00,17:00,22:00,07937683863,0,0
22,Beirut Star,Lebanese,22,4,4,18:00,23:00,17:00,22:00,07938767383,0,0
23,Fried Spice,Chinese,23,2,1,16:00,23:00,17:00,22:00,07918371784,0,0
24,Braganza,Brazillian,24,5,5,12:00,23:00,17:00,22:00,07912854743,0,0
25,Kowalski's,Polish,25,4,4,14:00,21:00,17:00,22:00,07827562516,0,0
